nombre,central,tecnologia_etiqueta,nombre_agente,tecnologia,tecnologia_maquinas,potencia_instalada_mw,provincia,departamento,aglomeracion,sistema,pah,id_renovar,resolucion_renovables,fuente,geojson
MARIO SEVESO,MSEV,Térmica,ARCOR MARIO SEVESO ARROYITO,TG,TURBO GAS,,CORDOBA,San Justo,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-63.0389768693129,-31.4202749765325]}"
LOS MOLINOS,LMO1HI,Hidroeléctrica,EPEC GENERACION,HI>50,TURB HIDRAULICA,52,CORDOBA,Santa María,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-64.4462890122242,-31.8381085352515]}"
LOS MOLINOS 2,LMO2HI,Hidroeléctrica (Menor a 50 Mw),EPEC GENERACION,HI<50,HIDRAULICA <=50,4.5,CORDOBA,Santa María,,Interconectado MEM,Si,SPT-PAH-04,,cammesa,"{""type"":""Point"",""coordinates"":[-64.4149441951098,-31.8432649842811]}"
VILLA MARIA,VMAR,Térmica,EPEC GENERACION,TG,TURBO GAS,48,CORDOBA,General San Martín,VILLA MARIA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-63.1926445753472,-32.4313929927935]}"
BELL VILLE,BVIL,Térmica,CT BELL VILLE - SULLAIR,DI,MOTOR DIESEL,15.6,CORDOBA,Unión,BELL VILLE,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-62.6858848494043,-32.6101419017251]}"
LEVALLE,LEVA,Térmica,EPEC GENERACION,TG,TURBO GAS,46,CORDOBA,Presidente Roque Sáenz Peña,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-63.9219036602751,-34.0360304738103]}"
13 DE JULIO,RTER,Térmica,GENERADORA CORDOBA S.A.,TG,TURBO GAS,26,CORDOBA,Tercero Arriba,RIO TERCERO,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-64.1542920006173,-32.1610979594879]}"
CO. ARGENER,ARGE,Térmica,SIDERCA SA(EX ARGENER-GEN.PAR),TG,TURBO GAS,163.3,BUENOS AIRES,Ramallo,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-60.1435721727678,-33.3653585133069]}"
ARRECIFES ENARS,ARRE,Térmica,CT ARRECIFES-AGGREKO,DI,MOTOR DIESEL,20,BUENOS AIRES,Arrecifes,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-60.1300775231554,-34.0418738984259]}"
ATUCHA II,ATU2,Nuclear,NUCLEOELECTRICA ARG. SA,NUC,NUCLEAR,745,BUENOS AIRES,Zárate,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-59.2044761891989,-33.96725778019]}"
ATUCHA,ATUC,Nuclear,NUCLEOELECTRICA ARG. SA,NUC,NUCLEAR,362,BUENOS AIRES,Zárate,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-59.207073891908,-33.9670490936526]}"
COLON BSAS,COLB,Térmica,CT COLON BS.AS - SULLAIR,DI,MOTOR DIESEL,15.3,BUENOS AIRES,Colón,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-61.0767483943736,-33.922067497133]}"
LINCOLN,LINC,Térmica,CT LINCOLN,DI,MOTOR DIESEL,15,BUENOS AIRES,Lincoln,LINCOLN,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-61.5204088342806,-34.8569096838831]}"
VILLEGAS ENARSA,VGAD,Térmica,CT GRAL. VILLEGAS - AGGREKO,DI,MOTOR DIESEL,23.5,BUENOS AIRES,General Villegas,GENERAL VILLEGAS,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-62.998141977449,-35.0349258127803]}"
NECOCHEA,NECO,Térmica,BUENOS AIRES ENERGIA EX-C.COST,TV,TURBO VAPOR,204,BUENOS AIRES,Necochea,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.7104501332913,-38.5784929011144]}"
MAR DEL PLATA,MDPA,Térmica,BUENOS AIRES ENERGIA EX-C.COST,"TG,TV",TURBO GAS - TURBO VAPOR,176.88,BUENOS AIRES,General Pueyrredón,MAR DEL PLATA,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-57.546469758973,-38.0502000430216]}"
MIRAMAR I ENARS,MIR1,Térmica,CT MIRAMAR I - ENERGYST,DI,MOTOR DIESEL,20,BUENOS AIRES,General Alvarado,MIRAMAR,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-57.8246372252512,-38.2472253160957]}"
BAHIA BLANCA,BBLA,Térmica,CENTRAL PIEDRABUENA S.A.,TV,TURBO VAPOR,620,BUENOS AIRES,Bahía Blanca,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-62.2540987908499,-38.7875810051844]}"
ECOENERG CERRI,CERI,Térmica,PAMPA ENERGIA SA,TV,TURBO VAPOR,13.2,BUENOS AIRES,Bahía Blanca,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-62.3961704191899,-38.6859802562514]}"
SOLALBAN,SOLA,Térmica,SOLALBAN ENERGIA SA,TG,TURBO GAS,,BUENOS AIRES,Bahía Blanca,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-62.2908262089512,-38.7779670860763]}"
GUILLERMO BROWN,BROW,Térmica,TERMOELECTRICA GUILLERMO BROWN,TG,TURBO GAS,582.6,BUENOS AIRES,Bahía Blanca,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-62.4142429160072,-38.685471624088]}"
AES-PARANA,AESP,Térmica,C.T. AES PARANA,"CC,TG",TURBO GAS - TURBO VAPOR,869.51,BUENOS AIRES,San Nicolás,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-60.1718463072851,-33.3548832039617]}"
SAN NICOLAS,SNIC,Térmica,C.TERMICA SAN NICOLAS,"TG,TV",TURBO GAS - TURBO VAPOR,675,BUENOS AIRES,San Nicolás,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-60.173027262967,-33.3562092977202]}"
ACEROS PARANA,APAR,Térmica,SIDERAR PTA. IND. SAN NICOLAS,TV,TURBO VAPOR,,BUENOS AIRES,Ramallo,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-60.1456809207253,-33.3641487600985]}"
JUNIN,JUNI,Térmica,CT JUNIN,DI,MOTOR DIESEL,22,BUENOS AIRES,Junín,JUNIN,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-60.9161319082439,-34.571088648852]}"
CAPITAN SARMIEN,CSAR,Térmica,CT CAPITAN SARMIENTO - SECCO,DI,MOTOR DIESEL,5,BUENOS AIRES,Capitán Sarmiento,,Interconectado MEM,,BM-418,,cammesa,"{""type"":""Point"",""coordinates"":[-59.7681921636706,-34.1638387202115]}"
SIDERCA,,Térmica,,TV,,,BUENOS AIRES,Campana,,Interconectada no MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.9759568916095,-34.1515631275907]}"
LOBOS ENARSA,LOBO,Térmica,CT LOBOS BS.AS - SULLAIR,DI,MOTOR DIESEL,19.68,BUENOS AIRES,Lobos,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-59.078613113271,-35.1911121897838]}"
GRAL BELGRANO,GBEL,Térmica,TERMOELECTRICA M.BELGRANO S.A.,CC,TURBO GAS - TURBO VAPOR,873,BUENOS AIRES,Campana,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-59.0061808744608,-34.1846515192087]}"
MAR DE AJO,MDAJ,Térmica,BUENOS AIRES ENERGIA EX-C.COST,TG,TURBO GAS,30,BUENOS AIRES,La Costa,MAR DE AJO,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-56.6939401770873,-36.720770284309]}"
VILLA GESELL,VGES,Térmica,BUENOS AIRES ENERGIA EX-C.COST - CT VILLA GESELL-CATLANT.,TG,TURBO GAS,125,BUENOS AIRES,General Juan Madariaga,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-56.9976081997781,-37.2489621044488]}"
ALTE BROWN ENAR,ABRO,Térmica,C.T. ALMIRANTE BROWN,DI,MOTOR DIESEL,25,BUENOS AIRES,Almirante Brown,GRAN BUENOS AIRES,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.405191227531,-34.8375578669191]}"
MAGDALENA ENARS,MAGD,Térmica,CT MAGDALENA - APR ENERGY,DI,MOTOR DIESEL,25,BUENOS AIRES,Magdalena,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-57.4843302668866,-35.1001374238144]}"
ENSE. BARRAGAN,EBAR,Térmica,CT BARRAGAN - ENARSA,CC,TURBO GAS - TURBO VAPOR,567,BUENOS AIRES,Ensenada,GRAN BUENOS AIRES,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-57.9522799349241,-34.85880925783]}"
CO. ENSENADA,ENSE,Térmica,REFINERIA LA PLATA AUTOG,TG,TURBO GAS,128,BUENOS AIRES,Ensenada,GRAN BUENOS AIRES,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-57.9233583609674,-34.8917813555053]}"
LA PLATA,LPLA,Térmica,CT LA PLATA - SULLAIR,DI,MOTOR DIESEL,40.4,BUENOS AIRES,La Plata,GRAN BUENOS AIRES,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.0181690068736,-34.9349660240086]}"
DIQUE,DIQU,Térmica,CENTRAL DIQUE S.A.,TG,TURBO GAS,55,BUENOS AIRES,Ensenada,GRAN BUENOS AIRES,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-57.9323168364084,-34.8905227512615]}"
DOCK SUD,DSUD,Térmica,CENTRAL DOCK SUD,"CC,TG",TURBO GAS - TURBO VAPOR,869.5,BUENOS AIRES,Avellaneda,GRAN BUENOS AIRES,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.3417443880563,-34.6531846159815]}"
S.VICENTE BSAS,SVIC,Térmica,CT SAN VICENTE BsAs - ENARSA,DI,MOTOR DIESEL,27.6,BUENOS AIRES,San Vicente,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.3254456944915,-35.0434245614703]}"
AUTOPROD.SHELL,SHEL,Térmica,SHELL CAPSA PTA. DOCK SUD,TG,TURBO GAS,,BUENOS AIRES,Avellaneda,GRAN BUENOS AIRES,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.3317609205434,-34.6506101244187]}"
COSTANERA,COST,Térmica,ENDESA COSTANERA SA,"CC,TV",TURBO GAS - TURBO VAPOR,1982,CIUDAD AUTONOMA DE BUENOS,Comuna 4,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.3397061679036,-34.6248538491565]}"
C.T. GENELBA,GEBA,Térmica,GENELBA - PETROBRAS - GENELBA - RES.287 - PAMPA ENERGIA SA,CC,TURBO GAS - TURBO VAPOR,1247.64,BUENOS AIRES,Marcos Paz,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.7334725913258,-34.9022111178442]}"
NUEVO PUERTO,NPUE,Térmica,CENTRAL PUERTO SA,"CC,TV",TURBO GAS - TURBO VAPOR,1188,CIUDAD AUTONOMA DE BUENOS,Comuna 2,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.3821145131393,-34.5717066175047]}"
PUERTO NUEVO,PNUE,Térmica,CENTRAL PUERTO SA,TV,TURBO VAPOR,589,CIUDAD AUTONOMA DE BUENOS,Comuna 2,GRAN BUENOS AIRES,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.3760473166196,-34.575702236509]}"
S.MIGUEL N ENAR,SMIG,Biogas,CT SAN MIGUEL NORTE III-ENARSA,BIOG,BIOGAS,11.5,BUENOS AIRES,San Miguel,GRAN BUENOS AIRES,Interconectado MEM,,GEN-BRS-02,,cammesa,"{""type"":""Point"",""coordinates"":[-58.6181625109355,-34.5260674382151]}"
BUENOS AIRES,BSAS,Térmica,ENDESA COSTANERA SA,CC,TURBO GAS - TURBO VAPOR,321.6,CIUDAD AUTONOMA DE BUENOS,Comuna 4,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.3373020900825,-34.6263680257532]}"
MOTORES COSTANE,COSM,Térmica,MOTOGENERADORES COSTANERA,DI,MOTOR DIESEL,35.6,CIUDAD AUTONOMA DE BUENOS,Comuna 4,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.3388883510156,-34.6275832909437]}"
EL JUME,JUMEEO,Eólica,C.EOLICA EL JUME Sgo del Ester,EOL,EOLICA,8,SANTIAGO DEL ESTERO,Ojo de Agua,,Interconectado MEM,,108-EOL-06,,cammesa,"{""type"":""Point"",""coordinates"":[-63.7096578608852,-29.419390882194]}"
SALTOII SOENERG,SAL2,Térmica,CT SALTO 2 - SoENERGY,TG,TURBO GAS,63,BUENOS AIRES,Salto,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-60.2236817663346,-34.3045880881631]}"
MATHEU APR ENER,MATE,Térmica,CT MATHEU II - APR ENERGY,TG,TURBO GAS,229,BUENOS AIRES,Pilar,GRAN BUENOS AIRES,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.8341351559185,-34.3937254120389]}"
CAIMANCITO,CAIM,Térmica,CT CAIMANCITO -SULLAIR,DI,MOTOR DIESEL,91,JUJUY,Ledesma,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-64.6151300577762,-23.7331330114739]}"
BRAGADO II,BRA2,Térmica,CT BRAGADO 2 - GENNEIA,TG,TURBO GAS,58.5,BUENOS AIRES,Bragado,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-60.4342170255458,-35.1351983374074]}"
BRAGADO III,BRA3,Térmica,CT BRAGADO 3 - GENNEIA,TG,TURBO GAS,61.2,BUENOS AIRES,Bragado,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-60.4351485112119,-35.1337873272298]}"
G ROJO R.ENERGY,ROJO,Térmica,CT GENERAL ROJO - CT GENERAL ROJO CIERRE CC,CC,TURBO GAS - TURBO VAPOR,258.649,BUENOS AIRES,San Nicolás,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-60.2816676834559,-33.4549646108126]}"
PEREZ SECCO,PERZ,Térmica,CT PEREZ - SECCO,DI,MOTOR DIESEL,81.088,SANTA FE,Rosario,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-60.8249044424401,-33.019181718601]}"
CAÑADA DE GOMEZ,CGOM,Térmica,CT CAÑADA DE GOMEZ - SECCO,DI,MOTOR DIESEL,67.232,SANTA FE,Iriondo,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-61.452018967702,-32.7622310175486]}"
VILLA OCAMPO,OCAM,Térmica,CT VILLA OCAMPO - SECCO,DI,MOTOR DIESEL,50.35,SANTA FE,General Obligado,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-59.3451098567939,-28.5159884039691]}"
CB YANQUETRUZ,YANQ,Biogas,BIO ENERGÍA YANQUETRUZ S.A.,BIOG,BIOGAS,1.5,SAN LUIS,General Pedernera,,Interconectado MEM,,BG-03,,cammesa,"{""type"":""Point"",""coordinates"":[-65.5697063552066,-33.3783385094733]}"
RENOVA ALBANESI,RENO,Térmica,CT RENOVA - ALBANESI ENERGIA,CC,TURBO GAS,172,SANTA FE,San Lorenzo,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-60.7924300988769,-32.5871629090721]}"
PILAR BSAS,PILB,Térmica,CT PILAR BS AS- PAMPA ENERGÍA,DI,MOTOR DIESEL,100.398,BUENOS AIRES,Pilar,GRAN BUENOS AIRES,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.9660522601137,-34.4032209271504]}"
