PILOTO,EQUIPO,PUNTOS_TOTALES,CARRERA,PUNTOS
D. Pin,Prema Racing,151,Singapur_R1,5
D. Pin,Prema Racing,151,Singapur_R2,19
E. Felbermayr,Rodin Motorsport,37,Arabia_R1,0
E. Felbermayr,Rodin Motorsport,37,Arabia_R2,0
E. Felbermayr,Rodin Motorsport,37,Canada_R1,0
E. Felbermayr,Rodin Motorsport,37,Canada_R2,10
E. Felbermayr,Rodin Motorsport,37,Canada_R3,1
E. Felbermayr,Rodin Motorsport,37,China_R1,0
E. Felbermayr,Rodin Motorsport,37,China_R2,10
E. Felbermayr,Rodin Motorsport,37,Miami_R1,0
E. Felbermayr,Rodin Motorsport,37,Miami_R2,0
E. Felbermayr,Rodin Motorsport,37,PaisesBajos_R1,1
E. Felbermayr,Rodin Motorsport,37,PaisesBajos_R2,0
E. Felbermayr,Rodin Motorsport,37,Singapur_R1,3
E. Felbermayr,Rodin Motorsport,37,Singapur_R2,12
E. Kosterman (WCD),Hitech TGR,6,Arabia_R1,0
E. Kosterman (WCD),Hitech TGR,6,Arabia_R2,0
E. Kosterman (WCD),Hitech TGR,6,Canada_R1,0
E. Kosterman (WCD),Hitech TGR,6,Canada_R2,0
E. Kosterman (WCD),Hitech TGR,6,Canada_R3,0
E. Kosterman (WCD),Hitech TGR,6,China_R1,0
E. Kosterman (WCD),Hitech TGR,6,China_R2,0
E. Kosterman (WCD),Hitech TGR,6,Miami_R1,0
E. Kosterman (WCD),Hitech TGR,6,Miami_R2,0
E. Kosterman (WCD),Hitech TGR,6,PaisesBajos_R1,0
E. Kosterman (WCD),Hitech TGR,6,PaisesBajos_R2,6
E. Kosterman (WCD),Hitech TGR,6,Singapur_R1,0
E. Kosterman (WCD),Hitech TGR,6,Singapur_R2,0
E. Lloyd,Rodin Motorsport,101,Arabia_R1,10
E. Lloyd,Rodin Motorsport,101,Arabia_R2,4
E. Lloyd,Rodin Motorsport,101,Canada_R1,18
E. Lloyd,Rodin Motorsport,101,Canada_R2,8
E. Lloyd,Rodin Motorsport,101,Canada_R3,18
E. Lloyd,Rodin Motorsport,101,China_R1,3
E. Lloyd,Rodin Motorsport,101,China_R2,6
E. Lloyd,Rodin Motorsport,101,Miami_R1,0
E. Lloyd,Rodin Motorsport,101,Miami_R2,0
E. Lloyd,Rodin Motorsport,101,PaisesBajos_R1,5
E. Lloyd,Rodin Motorsport,101,PaisesBajos_R2,12
E. Lloyd,Rodin Motorsport,101,Singapur_R1,2
E. Lloyd,Rodin Motorsport,101,Singapur_R2,15
F. AlYousef (WCD),Hitech TGR,0,Arabia_R1,0
F. AlYousef (WCD),Hitech TGR,0,Arabia_R2,0
F. AlYousef (WCD),Hitech TGR,0,Canada_R1,0
F. AlYousef (WCD),Hitech TGR,0,Canada_R2,0
F. AlYousef (WCD),Hitech TGR,0,Canada_R3,0
F. AlYousef (WCD),Hitech TGR,0,China_R1,0
F. AlYousef (WCD),Hitech TGR,0,China_R2,0
F. AlYousef (WCD),Hitech TGR,0,Miami_R1,0
F. AlYousef (WCD),Hitech TGR,0,Miami_R2,0
F. AlYousef (WCD),Hitech TGR,0,PaisesBajos_R1,0
F. AlYousef (WCD),Hitech TGR,0,PaisesBajos_R2,0
F. AlYousef (WCD),Hitech TGR,0,Singapur_R1,0
F. AlYousef (WCD),Hitech TGR,0,Singapur_R2,0
J. Ciconte,MP Motorsport,8,Arabia_R1,0
J. Ciconte,MP Motorsport,8,Arabia_R2,2
J. Ciconte,MP Motorsport,8,Canada_R1,0
J. Ciconte,MP Motorsport,8,Canada_R2,0
J. Ciconte,MP Motorsport,8,Canada_R3,2
